ProductId,Id1,Id2,Id3,Id4,ProductName,Brand,Category,SubCategory,ChildCategory,BundleId1,Bundle1,MOQ1,Price1,Bundle2,MOQ2,Price2,Bundle3,MOQ3,Price3,Bundle4,MOQ4,Price4
124,0,0,0,0,airMAX Rocket 5AC PRISM/Gen2,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
111,0,0,0,0,airMAX Rocket Dish RD-34,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
110,0,0,0,0,airMAX Rocket Dish RD-5G-30LW,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
544,0,0,0,0,airMAX Rocket Dish RD-5G30,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
128,0,0,0,0,airMAX RocketM2,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
127,0,0,0,0,airMAX RocketM5,Ubiquiti,WISP,,,0,,0,0,,0,0,,0,0,,0,0
1843,0,0,0,0,AM-5G19-120,Ubiquiti,Wireless,Antenna,Sector Antenna,0,,0,0,,0,0,,0,0,,0,0
1241,151,152,0,0,Archer A10,TP-Link,Routers,AC Router,,0,Offer 1,5,0,Offer 2,10,0,,0,0,,0,0
1261,0,0,0,0,Archer A10 x 2,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1262,0,0,0,0,Archer A10 x 5,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1235,153,154,0,0,Archer A5,TP-Link,Routers,AC Router,,0,Offer 1,5,0,Offer 2,10,0,,0,0,,0,0
1269,0,0,0,0,Archer A5 x 10,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1268,0,0,0,0,Archer A5 x 5,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
858,155,0,0,0,Archer A6,TP-Link,Routers,AC Router,,0,Offer 1,1,1970,,0,0,,0,0,,0,0
1812,0,0,0,0,Archer A7,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
1285,0,0,0,0,Archer AX10,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
1299,0,0,0,0,Archer AX10 x 2,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1300,0,0,0,0,Archer AX10 x 5,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
